,,1,2,3,4,5,6,,7,8,9,10,11,12,,13,14,15,16,17,18,,19,20,21,22,23,24,,,,,
Atividade/Chuva,"PRODUTIVIDADE
ESPERADA",Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,,,,
,,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10,Dia 11,Dia 12,Dia 13,Dia 14,Dia 15,Dia 16,Dia 17,Dia 18,Dia 19,Dia 20,Dia 21,Dia 22,Dia 23,Dia 24,Dia 25,Dia 26,Dia 27,Dia 28,,,,
,,14/09/26,15/09/26,16/09/26,17/09/26,18/09/26,19/09/26,20/09/26,21/09/26,22/09/26,23/09/26,24/09/26,25/09/26,26/09/26,27/09/26,28/09/26,29/09/26,30/09/26,01/10/26,02/10/26,03/10/26,04/10/26,05/10/26,06/10/26,07/10/26,08/10/26,09/10/26,10/10/26,11/10/26,"Acumulado
Missão","Meta da
Missão","Percentual
de Avanço","
"
Chuva (mm),,,0,37,0,0,0,,,,,,,,,,,,,,,,,,,,,,,37,Indefinido,#VALUE!,
Escavação drenagem para canaletas,80m/dia,RECEBIMENTO DO SERVIÇO,0,50,0,50,30,,,,,,,,,,,,,,,,,,,,,,,130,1040,"12,50%",
Lastro de concreto drenagem para canaletas,50und/dia,,0,50,0,50,30,,,,,,,,,,,,,,,,,,,,,,,130,1030,"12,62%",
Assentamento de canaletas,50und/dia,,0,0,50,0,50,,,,,,,,,,,,,,,,,,,,,,,100,1030,"9,71%",
Arremates de juntas canaletas,35und/dia,,33,30,60,45,0,,,,,,,,,,,,,,,,,,,,,,,168,805,"20,87%",
Terraplenagem faixa de pista,3.600m²/dia,,675,2900,0,"1012,5",1425,,,,,,,,,,,,,,,,,,,,,,,"6012,5",78000,"7,71%",
Base solo vermelho (preparação para o TSD - dois lados do acostamento),8 dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,"0,00%",
Camada do TSD no acostamento,7 dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,"0,00%",
Escavação para caixa separadora de água e óleo,1 dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,"0,00%",
Armação da estrutura da caixa separadora de água e óleo,19 dias,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,5,23,"21,74%",
Concretagem tampas das canaletas na lateral do pátio (75cmx45cm),10 tampas / dia,,16,16,15,10,0,,,,,,,,,,,,,,,,,,,,,,,57,190,"30,00%",
Infra do balizamento,50m/dia,,50,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,250,750,"33,33%",
Conferência geral no material do balizamento em Manaus,5 dias,,1,1,"1,5","1,5",0,,,,,,,,,,,,,,,,,,,,,,,5,5,"100,00%",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação drenagem para canaletas,520,130,390,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lastro de concreto drenagem para canaletas,490,130,360,72,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assentamento de canaletas,490,100,390,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arremates de juntas canaletas,385,168,217,"43,4",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terraplenagem faixa de pista,37200,"6012,5","31187,5","6237,5",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base solo vermelho (preparação para o TSD - dois lados do acostamento),5,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camada do TSD no acostamento,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escavação para caixa separadora de água e óleo,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armação da estrutura da caixa separadora de água e óleo,11,5,6,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concretagem tampas das canaletas na lateral do pátio (75cmx45cm),90,57,33,"6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infra do balizamento,250,250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conferência geral no material do balizamento em Manaus,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
